Club/Org Name,Funding,Date,Category
Girl Up,900.0,01.06.2025,Community Service
Girl Up,550.0,01.06.2025,Community Service
Model United Nations,2255.0,01.06.2025,Professional - Civic
Model United Nations,5444.24,01.06.2025,Professional - Civic
Muslim Student Association,265.0,01.06.2025,Religious
UCSBreakin',1000.0,01.06.2025,Arts/Performance
Association for Computing Machinery,150.0,01.06.2025,Professional - STEM
Men's Rugby,16071.0,01.06.2025,Sports/Fitness
REALITY,345.07,01.06.2025,Arts/Performance
Gaucho Pep Band,9474.0,01.06.2025,Arts/Performance
Dhadkan,6133.0,01.06.2025,Arts/Performance
Badminton,2000.0,01.13.2025,Sports/Fitness
Ski and Snowboarding,7685.0,01.13.2025,Sports/Fitness
Anthropology Club,200.0,01.13.2025,Academic
Data Science,2500.0,01.13.2025,Professional - STEM
"Tricking, Parkour, & Tumbling Club",500.0,01.13.2025,Sports/Fitness
"Tricking, Parkour, & Tumbling Club",750.0,01.13.2025,Sports/Fitness
Gaucho Gaming,35.0,01.13.2025,Recreational/Social
Debate,5000.0,01.13.2025,Professional - Civic
Debate,7853.0,01.13.2025,Professional - Civic
Pre-Law Society,47.5,01.13.2025,Professional - Civic
Association for Computing Machinery,130.9,01.13.2025,Professional - STEM
Girl Up,800.0,01.13.2025,Community Service
Girl Up,60.0,01.13.2025,Community Service
gauchoCatholic,1500.0,01.13.2025,Religious
Taiwanese Student Association,617.17,01.13.2025,Cultural
Ethics Bowl,8220.0,01.13.2025,Professional - Civic
Ethics Bowl,250.0,01.13.2025,Professional - Civic
Alpha Kappa Alpha,4952.0,01.13.2025,Fraternity/Sorority
Ravaani,8403.92,01.13.2025,Arts/Performance
Untitled Dance Company,1425.0,01.13.2025,Arts/Performance
Society of Physics Students,500.0,01.13.2025,Professional - STEM
Finance Connection,900.0,01.13.2025,Professional - Finance/Business
Taara,1800.0,01.13.2025,Arts/Performance
American Indian and Indigenous Student Association,2250.0,01.13.2025,Cultural
BFOM A Capella,6180.0,01.13.2025,Arts/Performance
Lebanese Social Club,344.0,01.13.2025,Cultural
Laughology,5000.0,01.13.2025,Arts/Performance
