Club/Org Name,Funding,Date
Girl Up,900,01.06.2025
Girl Up,550,01.06.2025
Model United Nations,2255,01.06.2025
Model United Nations,5444.24,01.06.2025
Muslim Student Association,265,01.06.2025
UCSBreakin',1000,01.06.2025
Association for Computing Machinery,150,01.06.2025
Men's Rugby,16071,01.06.2025
REALITY,345.07,01.06.2025
Gaucho Pep Band,9474,01.06.2025
Dhadkan,6133,01.06.2025
Badminton,2000,01.13.2025
Ski and Snowboarding,7685,01.13.2025
Anthropology Club,200,01.13.2025
Data Science,2500,01.13.2025
"Tricking, Parkour, & Tumbling Club",500,01.13.2025
"Tricking, Parkour, & Tumbling Club",750,01.13.2025
Gaucho Gaming,35,01.13.2025
Debate,5000,01.13.2025
Debate,7853,01.13.2025
Pre-Law Society,47.50,01.13.2025
Association for Computing Machinery,130.90,01.13.2025
Girl Up,800,01.13.2025
Girl Up,60,01.13.2025
gauchoCatholic,1500,01.13.2025
Taiwanese Student Association,617.17,01.13.2025
Ethics Bowl,8220,01.13.2025
Ethics Bowl,250,01.13.2025
Alpha Kappa Alpha,4952,01.13.2025
Ravaani,8403.92,01.13.2025
Untitled Dance Company,1425,01.13.2025
Society of Physics Students,500,01.13.2025
Finance Connection,900,01.13.2025
Taara,1800,01.13.2025
American Indian and Indigenous Student Association,2250,01.13.2025
BFOM A Capella,6180,01.13.2025
Lebanese Social Club,344,01.13.2025
Laughology,5000,01.13.2025
Society of Cosmetic Chemist:  Chapter,250,01.13.2025
Comunidad Latinx Graduacion,33000,01.13.2025
Vietnamese Student Association,275,01.13.2025
REALITY,79.09,01.13.2025
Move@UCSB,272.04,01.13.2025
AS External Vice President for Statewide Affairs,20929,01.27.2025
UCSBreakin',3350,01.27.2025
Vietnamese Student Association,24700,01.27.2025
Women In Business,1000,01.27.2025
Laughology,12000,01.27.2025
Pre-Physician Associate Organization,64.50,01.27.2025
Data Science,14600,01.27.2025
Society of Asian Scientists and Engineers,3500,01.27.2025
American Institute of Chemical Engineers,435,01.27.2025
YouthBridge Housing CA,50,01.27.2025
Vietnamese Student Association,600,01.27.2025
